"","ID","Labels","dist2labeled #1","dist2labeled #2","nearest2labeled #1","nearest2labeled #2","dist2unlabeled #1","dist2unlabeled #2","nearest2unlabeled #1","nearest2unlabeled #2","K-NN dist2labeled ","K-NN dist2unlabeled ","cluster","clusterQuality","#AAD days","#ActivityName","#Token days","#SharedAADVol","#SharedTokenVol"
"1677","8091142f-2680-477a-a220-9d2ead3701d6",TRUE,"0.075441741547822","0.0814852420194634","b59c91e9-a988-4ea1-911c-c3b75bcb33e1","4fbd8dbf-360d-4c60-b36d-e68dfc03428c","0.00672335264716052","0.0755676992360936","f9b5eb6f-1d73-4904-9c65-524a7db17002","5798da10-d68a-40b6-b45e-a2b438dea0ba","0.148","0.122",3,0.477434679334917,0,3,14,0,3
"1678","8ac8c880-b237-4c0a-880d-fd41b2636c6a",TRUE,"0.0270809411306585","0.028986511959167","a33b8365-8e6d-4d90-a5d4-27ccd5e29575","4071937a-885d-4947-a13f-ecb74f46c951","0.0131452349054054","0.0512347287476983","3a615100-2405-459e-9c81-45d1ad4e5e26","863cf459-d4c8-40bf-a256-fa1ab84ec8f3","0.186","0.075",4,0.582608695652174,0,1,46,0,567
"1679","8b695820-dfd5-45e9-957c-ea4eb4c2d4a9",TRUE,"0.15993213839905","0.180673498504796","ead5a9b8-4a2d-4d79-b8f5-3beff6730b27","46da738c-0d70-4c92-a8dc-f8a3a8d29ee4","0.042863940783087","0.206362481262152","a910ef45-2ade-45cb-a371-3cecc9867a51","177cfeea-2e74-499f-853d-73e9fb3f88a7","0.295","0.31",4,0.582608695652174,0,1,83,0,225
"1680","8f932730-3623-4c89-9713-c52543cb2de4",TRUE,"0.039725713720266","0.0506123561263242","f062472b-d689-4bec-9035-a816479294ab","a5f8392a-a68f-4d74-a353-aefc87f29848","0.0259581199382752","0.0516572230151365","b731f9ae-a27d-4395-a5db-3793a1668f47","47710376-3be5-4c0a-8b0c-518ef09c1d7b","0.121","0.086",4,0.582608695652174,0,1,27,0,430
"1681","97d007cc-1f2e-4a39-9914-491de1c8cbb3",TRUE,"0.398104552099335","0.405200451323693","bdccd48c-e6ed-4ad1-8ad0-499da31951d0","ab18b26a-bb7c-4bbc-981b-f9f35b299cdb","0.310532653911215","0.386795904058107","a11491f7-6ad4-4f4a-afee-71d03061f90a","87fcd6be-717e-4f42-82c3-fab46bfefed2","0.561","0.468",5,0.926950747094632,0,3,103,0,6058
"1682","9c72d32e-66f4-4e08-b55a-5bde33f76942",TRUE,"0.123524675229574","0.175581124265678","6b1b4064-7f05-4792-857f-bbd1af527e18","ccaa30f6-1a38-4d86-82bd-398679aafb4c","0.0272667949861848","0.064779991153611","83555abd-034e-4b2d-9a08-8b32014ee635","2f4e8086-5171-4a53-945c-e81cc9548d2c","0.285","0.144",4,0.582608695652174,0,1,59,0,595
"1683","a5f8392a-a68f-4d74-a353-aefc87f29848",TRUE,"0.0144443331926834","0.0506123561263242","bb35b6f4-ecf1-49bf-8423-eadb9e7563d9","8f932730-3623-4c89-9713-c52543cb2de4","0.0116949368926528","0.025864371923297","47710376-3be5-4c0a-8b0c-518ef09c1d7b","43ca1eca-4f21-4665-a944-05fa08dd99d1","0.102","0.068",4,0.582608695652174,0,1,25,0,512
"1684","a961014c-e0b8-439d-93e1-9ede1315605a",TRUE,"0.0592741275892099","0.0593942795253063","c990e1b5-af3d-45da-b8fa-632cb925a168","9f693e63-5e9e-4ced-98a4-8ab28f9d0c2d","0.0560467877191026","0.0703008154323981","b9544244-7dde-40f7-8c79-77cd0bba833d","2d167122-5ed4-4691-8041-b4ea69a4c106","0.167","0.097",3,0.477434679334917,0,2,19,0,1989
"1685","ab18b26a-bb7c-4bbc-981b-f9f35b299cdb",TRUE,"0.173156363385837","0.405200451323693","bdccd48c-e6ed-4ad1-8ad0-499da31951d0","97d007cc-1f2e-4a39-9914-491de1c8cbb3","0.428482237013494","0.756220858086705","a11491f7-6ad4-4f4a-afee-71d03061f90a","87fcd6be-717e-4f42-82c3-fab46bfefed2","0.606","0.763",5,0.926950747094632,0,4,100,0,1176
"1686","accbc491-d188-4b52-b64c-a2ae0bd03823",TRUE,"0.0775985522783264","0.17801655483651","71c176db-37b3-4250-b379-06a3c0520334","cdf4cf3d-de23-49cf-a9b0-abd2b675f253","0.0290403287637684","0.0792076098906051","3fda4a6c-4839-4de1-a319-b944a82c96ed","d18c96b5-d56b-4e71-89d4-48b8d4f76b95","0.216","0.137",3,0.477434679334917,0,2,28,0,643
"1687","b59c91e9-a988-4ea1-911c-c3b75bcb33e1",TRUE,"0.0688708879225212","0.075441741547822","775d722e-800a-4802-9174-0fd80fc00514","8091142f-2680-477a-a220-9d2ead3701d6","0.0524289325812382","0.0753386181869576","458e082b-a313-448a-915c-98093ce1030f","f9b5eb6f-1d73-4904-9c65-524a7db17002","0.185","0.161",3,0.477434679334917,0,3,17,0,216
"1688","b67ddeb7-d71e-42b7-bffb-fed906d54739",TRUE,"0.00943959715142508","0.050312743131768","97ddbd54-2137-4fbd-8a0e-b4af14c9ec84","5764643a-7a01-480d-8f97-a0e4bef28989","0.00156797301631251","0.0251124121970372","54133dea-6829-415e-b414-5456f35eb77c","336289e6-7416-4aeb-a6d4-9baea976ab5a","0.128","0.07",3,0.477434679334917,0,2,12,0,143
"1689","bb35b6f4-ecf1-49bf-8423-eadb9e7563d9",TRUE,"0.0144443331926834","0.0527085724100786","a5f8392a-a68f-4d74-a353-aefc87f29848","8f932730-3623-4c89-9713-c52543cb2de4","0.0102579836051223","0.0278521055054687","47710376-3be5-4c0a-8b0c-518ef09c1d7b","b731f9ae-a27d-4395-a5db-3793a1668f47","0.102","0.069",4,0.582608695652174,0,1,25,0,12
"1690","bc15390b-39ca-4339-9eaf-5b84d2239ccb",TRUE,"0.0253128957339441","0.0300890349371","6df4cfae-3d10-45f1-93a5-f55fe294a0dd","52c45313-3bb1-43ef-8124-8c8afc9e779c","0.00574016532031932","0.0254273285399484","87a83f64-75c4-4dcb-bbd3-cc33e7734652","b41496b3-dd0c-438e-be47-afb7e3f328c6","0.142","0.08",4,0.582608695652174,0,1,34,0,49
"1691","c1f0ad9d-0a5d-484e-8774-e6bb132250a1",TRUE,"0.0251956312012278","0.0700253870024222","49700da7-f02d-4e43-b3a9-33b1f9939671","6700b5fe-584d-4e06-854d-daa4c4c9c384","0.0058581036057897","0.00633918378731698","390ee49f-b735-49cc-84aa-67c1b410b96f","6de5354b-f23a-492c-b7cb-d04a716bcbc1","0.2","0.026",3,0.477434679334917,0,2,4,0,89
"1692","c601f643-6ae7-42d7-ba1a-451630f670d6",TRUE,"0.155729279340211","0.251333192475885","0cfe32e8-6f0f-40b6-80c7-474571df75c6","78276bb3-e001-4e3c-93c2-2aaaa39b04e9","0.0914824253714354","0.144581644198457","f0cc493b-469e-4396-bbea-da95e10081ac","f39d5f23-89a3-45f6-9bc1-5b6033947301","0.328","0.23",4,0.582608695652174,0,2,63,0,40
